Sl. No.,State/UT,2019-20 - Trained,2019-20 - Settled,2020-21 - Trained,2020-21 - Settled,2021-22 - Trained,2021-22 - Settled,2022-23 - Trained,2022-23 - Settled,2023-24 - Trained,2023-24 - Settled
1,Andaman and Nicobar Islands,14,10,2,0,1,1,0,0,3,3
2,Andhra Pradesh,863,582,309,203,533,399,1123,806,980,725
3,Arunachal Pradesh,209,294,18,57,225,0,379,434,490,282
4,Assam,3630,1934,2067,1463,3072,2523,3632,3209,4396,3233
5,Bihar,491,393,254,165,388,183,818,604,832,709
6,Chattisgarh,3968,2771,2516,1207,4031,2667,4987,4412,6499,4555
7,Dadra and Nagar Haveli,647,448,490,372,419,350,700,502,691,477
8,Goa,0,0,0,0,0,0,0,0,0,0
9,Gujarat,5289,3092,3249,1688,4900,3933,5664,4761,6811,5005
10,Haryana,17,3,3,9,2,6,2,0,11,5
11,Himachal Pradesh,198,236,90,58,236,132,271,128,215,233
12,Jammu and Kashmir,393,231,112,141,192,132,317,287,336,237
13,Jharkhand,4371,3534,3433,2334,3815,2828,6523,4279,8105,5720
14,Karnataka,2349,1992,1666,1106,2207,1853,2624,2155,2653,2142
15,Kerala,239,186,91,87,135,85,187,174,393,262
16,Lakshadweep,36,0,162,98,137,34,465,285,465,345
17,Madhya Pradesh,7766,5690,4947,4332,6905,5301,9939,7570,10083,7997
18,Maharashtra,2105,1742,1796,1309,2442,1549,2855,2347,3421,2345
19,Manipur,442,291,251,222,329,282,505,463,564,495
20,Meghalaya,1624,966,959,687,1644,866,2017,1478,2491,1567
21,Mizoram,939,957,611,455,646,632,899,793,1046,1045
22,Nagaland,348,201,196,116,333,266,393,392,602,331
23,Odisha,5033,3739,3450,2842,3688,3004,4881,4166,5368,4789
24,Puducherry,1,0,0,0,0,0,2,1,1,0
25,Punjab,8,6,6,6,1,2,5,2,7,1
26,Rajasthan,4209,3006,4163,2311,4400,3623,4474,4337,5041,3629
27,Sikkim,142,213,60,70,54,49,96,65,182,112
28,Tamil Nadu,492,259,498,360,319,287,711,656,654,561
29,Telangana,911,794,372,303,612,530,909,913,982,784
30,Tripura,812,496,410,207,707,408,1014,822,1385,1139
31,UT Ladakh,601,233,407,327,532,383,623,353,580,461
32,Uttar Pradesh,724,456,350,325,346,336,367,297,507,451
33,Uttarakhand,237,253,188,94,173,154,402,246,410,265
34,West Bengal,752,478,178,246,598,255,843,549,996,711
Total,Total,49860,35486,33304,23200,44022,33053,58627,47486,67200,50616
