Sl. No.,State/UT,Primary - 2021-2022,Upper Primary - 2021-2022,Secondary - 2021-2022,Higher Secondary - 2021-2022,Primary - 2020-2021,Upper Primary - 2020-2021,Secondary - 2020-2021,Higher Secondary - 2020-2021
1,Andaman and Nicobar Islands,1.2,1.1,1.2,1.1,1.1,1.2,1.1,1.4
2,Andhra Pradesh,1,1,1,1.1,1,1,1,1.1
3,Arunachal Pradesh,1,1.1,1,1.1,1,1.1,1.1,1.1
4,Assam,1.1,1,1,1,1.1,1,1,0.9
5,Bihar,1,1,1,1,1,1,1.1,1
6,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA
7,Chhattisgarh,1,1,1.1,1.2,1,1,1.1,1.2
8,Dadra and Nagar Haveli and Daman and Diu,1.1,1,1,1.3,1.1,1.1,1.1,1.3
9,Delhi,NA,NA,NA,NA,NA,NA,NA,NA
10,Goa,1,1.1,1.2,1,1.1,1.1,1,1.1
11,Gujarat,1,1,1,1.1,1,1,1,1.2
12,Haryana,NA,NA,NA,NA,NA,NA,NA,NA
13,Himachal Pradesh,1,1,1,1,1,1,1,1
14,Jammu and Kashmir,0.9,1.1,0.9,0.8,1,1,0.9,0.8
15,Jharkhand,1,1,1.1,1.1,1,1,1.1,1.1
16,Karnataka,1,1,1,1,1,1,1,1.1
17,Kerala,1,1,0.9,1.1,1,1,0.9,1.1
18,Ladakh,1.1,1.2,1.1,1.2,1.1,1.2,1.1,1.3
19,Lakshadweep,1,0.8,0.9,0.9,1,0.8,1,0.9
20,Madhya Pradesh,1,0.9,1,1,1,0.9,0.9,1.1
21,Maharashtra,1,1,1,0.9,1,1,1,1
22,Manipur,1.1,1.1,1.1,1,1.1,1.1,1.1,1
23,Meghalaya,1,1.2,1.3,1.4,1,1.1,1.3,1.3
24,Mizoram,1,1,1.1,1.1,1,1,1.1,1.1
25,Nagaland,1.1,1.1,1.2,1.2,1.1,1.1,1.1,1.1
26,Odisha,1,1,1,1.1,1,1,1,1.1
27,Puducherry,NA,NA,NA,NA,NA,NA,NA,NA
28,Punjab,NA,NA,NA,NA,NA,NA,NA,NA
29,Rajasthan,1,0.9,0.9,0.9,1,0.9,0.9,0.9
30,Sikkim,0.9,1,1.1,1.3,0.9,1,1.2,1.3
31,Tamil Nadu,1,1,1,1.1,1,1,1,1.2
32,Telangana,1,1,1,1.1,1,1,1,1.1
33,Tripura,1,1,1.1,1.2,1,1,1.1,1.1
34,Uttarakhand,1.1,1,1,1,1,1,1,1.1
35,Uttar Pradesh,1,1,1,1,1,1,1,1
36,West Bengal,1,1,1.2,1.3,1,1,1.2,1.1
37,All India,1,1,1,1.1,1,1,1,1.1
