States/UTs,Primary,Upper Primary,Secondary
Andaman and Nicobar Islands,0,2.96,10.34
Andhra Pradesh,1.23,6.23,11.64
Arunachal Pradesh,10.9,7.39,9.04
Assam,6.29,4.76,12.67
Bihar,0,0,16.87
Chandigarh,3.56,0,0
Chhattisgarh,1.99,5.92,12.79
Dadra and Nagar Haveli and Daman and Diu,0,0,12.21
Delhi,0,0,0
Goa,0,0,2.34
Gujarat,0.54,6.47,20.35
Haryana,0,0,0
Himachal Pradesh,0,0,0
Jammu and Kashmir,3.31,5.02,14.17
Jharkhand,2.9,5.37,12.71
Karnataka,0.67,1.77,16.47
Kerala,0.04,0,7.83
Ladakh,6.35,0.58,3.47
Lakshadweep,0,2.24,0
Madhya Pradesh,4.49,14.02,17.6
Maharashtra,0.77,2.85,21.04
Manipur,15.48,5.71,3.23
Meghalaya,9.96,10.83,21.99
Mizoram,6.16,2.51,11.48
Nagaland,3.88,3.2,16.79
Odisha,0.42,8.77,33.12
Puducherry,0,0,21.17
Punjab,0.34,0,0
Rajasthan,3.66,5.57,9.34
Sikkim,1.58,0,11.5
Tamilnadu,0,0.52,9.44
Telangana,0.51,4.57,13.01
Tripura,1.99,7.49,9.21
Uttarakhand,0,1.46,6.36
Uttar Pradesh,0,0,12.33
West Bengal,10.01,0,12.14
