state,year,pre_primary_boys,pre_primary_girls,primary_boys,primary_girls,upper_primary_boys,upper_primary_girls,pre_primary_total,primary_total,upper_primary_total,pre_primary_female_share_pct,primary_female_share_pct,upper_primary_female_share_pct
Andaman and Nicobar Islands,2010,61.0,58,1222,1148,889,756,119.0,2370,1645,48.739495798319325,48.438818565400844,45.95744680851064
Andhra Pradesh,2010,13039.0,9009,396410,373650,152900,131787,22048.0,770060,284687,40.860849056603776,48.522193075864216,46.29189249948188
Arunachal Pradesh,2010,22554.0,20227,88778,84121,30383,29362,42781.0,172899,59745,47.28033472803347,48.65325999572004,49.14553519122939
Assam,2010,79777.0,77174,208254,208186,106867,103504,156951.0,416440,210371,49.170760300985656,49.99183555854385,49.20069781481288
Bihar,2010,0.0,0,107790,73483,25907,18463,0.0,181273,44370,,40.53720079658857,41.6114491773721
Chandigarh,2010,0.0,0,0,0,0,0,0.0,0,0,,,
Chhattisgarh,2010,11824.0,10489,515217,480322,209672,185570,22313.0,995539,395242,47.00847039842244,48.247431793229595,46.95098193005804
Delhi,2010,231.0,231,3361,2775,1747,1417,462.0,6136,3164,50.0,45.224902216427644,44.7850821744627
Goa,2010,0.0,0,4876,4442,3659,3233,0.0,9318,6892,,47.6711740716892,46.90946024376088
Gujarat,2010,0.0,0,634761,590277,187876,167521,0.0,1225038,355397,,48.18438285179725,47.13630109426923
Haryana,2010,0.0,0,0,0,0,0,0.0,0,0,,,
Himachal Pradesh,2010,0.0,0,17946,17016,12776,11749,0.0,34962,24525,,48.669984554659344,47.906218144750255
Jammu and Kashmir,2010,3867.0,3250,69940,59897,29361,23593,7117.0,129837,52954,45.66530841646762,46.13245839013532,44.55376364391736
Jharkhand,2010,14450.0,10913,776465,741070,243861,234147,25363.0,1517535,478008,43.0272444111501,48.83379954992801,48.9839082191093
Karnataka,2010,0.0,0,226014,212191,119299,108162,0.0,438205,227461,,48.422770164648966,47.55188801596758
Kerala,2010,0.0,0,22408,20447,13335,12381,0.0,42855,25716,,47.71205226928013,48.145123658422776
Lakshadweep,2010,476.0,523,3001,2846,1845,2122,999.0,5847,3967,52.35235235235235,48.674533949033695,53.49130325182758
Madhya Pradesh,2010,0.0,0,1414673,1380106,467462,479138,0.0,2794779,946600,,49.38157900857277,50.61673357278682
Maharashtra,2010,,130971,699875,635160,307643,260591,,1335035,568234,,47.57628077166516,45.859804235579006
Manipur,2010,26212.0,24952,74778,62123,21821,19885,51164.0,136901,41706,48.76866546790713,45.378046909810735,47.67899103246535
Meghalaya,2010,,134878,223494,223553,64465,73058,,447047,137523,,50.00659885873298,53.12420467849014
Mizoram,2010,19530.0,18579,77608,71228,33341,30896,38109.0,148836,64237,48.75226324490278,47.856701335698354,48.09689119977583
Nagaland,2010,57032.0,51783,107526,99190,43593,40310,108815.0,206716,83903,47.58810825713367,47.98370711507576,48.04357412726601
Odisha,2010,0.0,0,684634,654098,210031,184846,0.0,1338732,394877,,48.85951781237768,46.81103229613272
Puducherry,2010,0.0,0,0,0,0,0,0.0,0,0,,,
Punjab,2010,0.0,0,0,0,0,0,0.0,0,0,,,
Rajasthan,2010,28834.0,18768,725213,618299,265026,189458,47602.0,1343512,454484,39.42691483551111,46.02109992318639,41.6863960007393
Sikkim,2010,0.0,0,14915,15207,5298,6713,0.0,30122,12011,,50.48469557134321,55.890433769045046
Tamil Nadu,2010,10781.0,8822,59409,54523,27748,25721,19603.0,113932,53469,45.0033158190073,47.855738510690585,48.10450915483738
Dadra and Nagar Haveli and Daman and Diu,2010,31.0,36,14470,13625,7589,6356,67.0,28095,13945,53.73134328358209,48.49617369638726,45.57906059519541
Tripura,2010,1030.0,877,86356,81761,39303,34925,1907.0,168117,74228,45.9884635553225,48.63339222089378,47.05097806757558
Uttar Pradesh,2010,0.0,0,79876,74630,26719,21696,0.0,154506,48415,,48.3023313010498,44.81255809150057
Uttarakhand,2010,0.0,0,26183,23128,11203,11129,0.0,49311,22332,,46.902313885339986,49.834318466774135
West Bengal,2010,0.0,0,309164,299240,165412,166229,0.0,608404,331641,,49.184423508063716,50.12317536130937
