state,year,additional_info,st_share_state_population_pct,state_share_india_st_population_pct
Arunachal Pradesh,2011,,68.79,0.91
Assam,2011,,12.45,3.72
Chhattisgarh,2011,"States like Chhattisgarh, Jharkhand and Uttarakhand were created in the year 2000 after re-organization of the states of Madhya Pradesh, Bihar and Uttar Pradesh. MANIPUR (Excl. 3 Sub-divisions of Senapati Distt.)",30.62,7.5
Goa,2011,,10.23,0.14
Gujarat,2011,,14.75,8.55
Jammu and Kashmir,2011,,11.91,1.43
Jharkhand,2011,"States like Chhattisgarh, Jharkhand and Uttarakhand were created in the year 2000 after re-organization of the states of Madhya Pradesh, Bihar and Uttar Pradesh. MANIPUR (Excl. 3 Sub-divisions of Senapati Distt.)",26.21,8.29
Lakshadweep,2011,,94.8,0.06
Madhya Pradesh,2011,,21.09,14.69
Maharashtra,2011,,9.35,10.08
Manipur,2011,,35.12,0.87
Meghalaya,2011,,86.15,2.45
Mizoram,2011,,94.43,0.99
Nagaland,2011,,86.48,1.64
Odisha,2011,,22.85,9.2
Rajasthan,2011,,13.48,8.86
Sikkim,2011,,33.8,0.2
Dadra and Nagar Haveli and Daman and Diu,2011,,51.95,0.17
Tripura,2011,,31.76,1.12
