state,year,additional_info,total_literacy_rate_pct,st_literacy_rate_pct,literacy_gap_pct
Andaman and Nicobar Islands,2011,,86.6,75.6,11.0
Andhra Pradesh,2011,,67.0,49.2,17.8
Arunachal Pradesh,2011,,65.4,64.6,0.8
Assam,2011,,72.2,72.1,0.1
Bihar,2011,,61.8,51.1,10.7
Chandigarh,2011, No notified ST,86.0,,
Chhattisgarh,2011,,70.3,59.1,11.2
Dadra and Nagar Haveli,2011,,76.2,61.9,14.4
Daman and Diu,2011,,87.1,78.8,8.3
Delhi,2011, No notified ST,86.2,,
Goa,2011,,88.7,79.1,9.6
Gujarat,2011,,78.0,62.5,15.6
Haryana,2011, No notified ST,75.6,,
Himachal Pr.,2011,,82.8,73.6,9.2
Jammu and Kashmir,2011,,67.2,50.6,16.6
Jharkhand,2011,,66.4,57.1,9.3
Karnataka,2011,,75.4,62.1,13.3
Kerala,2011,,94.0,75.8,18.2
Lakshadweep,2011,,91.8,91.7,0.1
Madhya Pradesh,2011,,69.3,50.6,18.8
Maharashtra,2011,,82.3,65.7,16.6
Manipur,2011,,79.2,77.4,1.9
Meghalaya,2011,,74.4,74.5,0.1
Mizoram,2011,,91.3,91.5,0.2
Nagaland,2011,,79.6,80.0,0.5
Odisha,2011,,72.9,52.2,20.6
Puducherry,2011, No notified ST,85.8,,
Punjab,2011, No notified ST,75.8,,
Rajasthan,2011,,66.1,52.8,13.3
Sikkim,2011,,81.4,79.7,1.7
Tamil Nadu,2011,,80.1,54.3,25.8
Tripura,2011,,87.2,79.1,8.2
Uttar Pradesh,2011,,67.7,55.7,12.0
Uttarakhand,2011,,78.8,73.9,4.9
West Bengal,2011,,76.3,57.9,18.3
Andaman and Nicobar Islands,2001,,81.3,66.8,14.5
Andhra Pradesh,2001,,60.5,37.0,23.4
Arunachal Pradesh,2001,,54.3,49.6,4.7
Assam,2001,,63.3,62.5,0.7
Bihar,2001,,47.0,28.2,18.8
Chandigarh,2001, No notified ST,81.9,,
Chhattisgarh,2001,,64.7,52.1,12.6
Dadra and Nagar Haveli,2001,,57.6,41.2,16.4
Daman and Diu,2001,,78.2,63.4,14.8
Delhi,2001, No notified ST,81.7,,
Goa,2001,,82.0,55.9,26.1
Gujarat,2001,,69.1,47.7,21.4
Haryana,2001, No notified ST,67.9,,
Himachal Pr.,2001,,76.5,65.5,11.0
Jammu and Kashmir,2001,,55.5,37.5,18.1
Jharkhand,2001,,53.6,40.7,12.9
Karnataka,2001,,66.6,48.3,18.4
Kerala,2001,,90.9,64.4,26.5
Lakshadweep,2001,,86.7,86.1,0.5
Madhya Pradesh,2001,,63.7,41.2,22.6
Maharashtra,2001,,76.9,55.2,21.7
Manipur,2001,,70.5,65.9,4.7
Meghalaya,2001,,62.6,61.3,1.2
Mizoram,2001,,88.8,89.3,0.5
Nagaland,2001,,66.6,65.9,0.6
Odisha,2001,,63.1,37.4,25.7
Puducherry,2001, No notified ST,81.2,,
Punjab,2001, No notified ST,69.7,,
Rajasthan,2001,,60.4,44.7,15.8
Sikkim,2001,,68.8,67.1,1.7
Tamil Nadu,2001,,73.5,41.5,31.9
Tripura,2001,,73.2,56.5,16.7
Uttar Pradesh,2001,,56.3,35.1,21.1
Uttarakhand,2001,,71.6,63.2,8.4
West Bengal,2001,,68.6,43.4,25.2
Andaman and Nicobar Islands,1991,,73.0,56.6,16.4
Andhra Pradesh,1991,,44.1,17.2,26.9
Arunachal Pradesh,1991,,41.6,34.4,7.2
Assam,1991,,52.9,49.2,3.7
Bihar,1991,,37.5,18.9,18.6
Chandigarh,1991, No notified ST,77.8,,
Chhattisgarh,1991,,42.9,26.7,16.2
Dadra and Nagar Haveli,1991,,40.7,28.2,12.5
Daman and Diu,1991,,71.2,52.9,18.3
Delhi,1991, No notified ST,75.3,,
Goa,1991,,75.5,42.9,32.6
Gujarat,1991,,61.3,36.4,24.9
Haryana,1991, No notified ST,55.8,,
Himachal Pr.,1991,,63.9,47.1,16.8
Jammu and Kashmir,1991,,,,
Jharkhand,1991,,41.4,27.5,13.9
Karnataka,1991,,56.0,36.0,20.0
Kerala,1991,,89.8,57.2,32.6
Lakshadweep,1991,,81.8,80.6,1.2
Madhya Pradesh,1991,,44.7,18.4,26.3
Maharashtra,1991,,64.9,36.8,28.1
Manipur,1991,,59.9,53.6,6.3
Meghalaya,1991,,49.1,46.7,2.4
Mizoram,1991,,82.3,82.7,0.4
Nagaland,1991,,61.6,60.6,1.0
Odisha,1991,,49.1,22.3,26.8
Puducherry,1991, No notified ST,74.7,,
Punjab,1991, No notified ST,58.8,,
Rajasthan,1991,,38.6,19.4,19.2
Sikkim,1991,,56.9,59.0,2.1
Tamil Nadu,1991,,62.7,27.9,34.8
Tripura,1991,,60.4,40.4,20.0
Uttar Pradesh,1991,,40.7,20.0,20.7
Uttarakhand,1991,,57.8,41.2,16.6
West Bengal,1991,,57.7,27.8,29.9
