state,year,district,literacy_total_pct,literacy_male_pct,literacy_female_pct
Andhra Pradesh,2011,Visakhapatnam,44.9,55.6,34.7
Chhattisgarh,2011,Bijapur,34.5,43.3,26.0
Chhattisgarh,2011,Dakshin Bastar Dantewada,32.9,42.0,24.2
Gujarat,2011,Surendranagar,44.3,56.4,31.5
Jammu and Kashmir,2011,Anantnag,34.1,41.9,25.5
Jammu and Kashmir,2011,Baramulla,43.7,56.5,28.7
Jammu and Kashmir,2011,Budgam,41.4,48.7,33.5
Jammu and Kashmir,2011,Doda,46.4,59.5,32.2
Jammu and Kashmir,2011,Ganderbal,43.6,53.4,32.4
Jammu and Kashmir,2011,Kathua,45.6,57.1,33.1
Jammu and Kashmir,2011,Kishtwar,29.0,37.3,19.8
Jammu and Kashmir,2011,Kulgam,27.9,33.6,21.6
Jammu and Kashmir,2011,Kupwara,43.8,53.5,33.1
Jammu and Kashmir,2011,Pulwama,31.8,40.2,22.6
Jammu and Kashmir,2011,Ramban,35.4,44.8,24.8
Jammu and Kashmir,2011,Reasi,39.4,48.4,29.5
Jammu and Kashmir,2011,Shopian,36.4,44.0,28.1
Jammu and Kashmir,2011,Srinagar,45.8,54.4,34.6
Jammu and Kashmir,2011,Udhampur,44.3,56.5,31.3
Jharkhand,2011,Deoghar,48.3,61.9,34.4
Jharkhand,2011,Giridih,46.1,58.5,33.3
Jharkhand,2011,Godda,43.7,55.3,32.3
Jharkhand,2011,Koderma,39.4,49.4,28.3
Jharkhand,2011,Pakur,41.7,51.4,32.3
Jharkhand,2011,Sahebganj,40.0,48.8,31.2
Karnataka,2011,Raichur,44.4,55.8,33.3
Karnataka,2011,Yadgir,43.6,54.5,32.7
Madhya Pradesh,2011,Alirajpur,32.4,38.2,26.7
Madhya Pradesh,2011,Ashoknagar,41.4,51.3,30.9
Madhya Pradesh,2011,Barwani,39.3,45.0,33.6
Madhya Pradesh,2011,Burhanpur,38.7,46.3,30.9
Madhya Pradesh,2011,Chhatarpur,42.7,50.3,34.4
Madhya Pradesh,2011,Guna,43.7,52.2,34.8
Madhya Pradesh,2011,Jhabua,37.2,46.7,27.9
Madhya Pradesh,2011,Neemuch,43.7,54.8,32.0
Madhya Pradesh,2011,Sheopur,40.7,49.6,31.5
Madhya Pradesh,2011,Shivpuri,41.4,51.5,30.7
Madhya Pradesh,2011,Tikamgarh,41.3,49.2,32.9
Odisha,2011,Bhadrak,43.5,53.2,33.6
Odisha,2011,Gajapati,43.7,55.4,32.8
Odisha,2011,Koraput,35.4,46.2,25.4
Odisha,2011,Malkangiri,35.2,44.9,26.3
Odisha,2011,Nabarangpur,38.5,49.5,28.0
Odisha,2011,Rayagada,36.7,47.9,26.7
Rajasthan,2011,Ajmer,49.0,63.9,33.6
Rajasthan,2011,Barmer,38.1,53.0,21.4
Rajasthan,2011,Bhilwara,43.6,58.2,28.4
Rajasthan,2011,Chittorgarh,39.2,53.0,25.2
Rajasthan,2011,Jaisalmer,42.1,57.3,24.9
Rajasthan,2011,Jalore,33.4,46.9,18.7
Rajasthan,2011,Pali,41.0,55.1,26.1
Rajasthan,2011,Pratapgarh,44.7,58.4,31.0
Rajasthan,2011,Rajsamand,42.0,57.8,26.2
Rajasthan,2011,Sirohi,32.9,47.2,18.2
Rajasthan,2011,Udaipur,46.9,61.2,32.2
Telangana,2011,Mahabubnagar,42.3,53.7,30.4
Telangana,2011,Medak,44.7,56.9,32.0
Telangana,2011,Nizamabad,45.9,58.0,34.3
Uttar Pradesh,2011,Amroha,22.7,27.9,17.2
Uttar Pradesh,2011,Baghpat,36.4,50.0,0.0
Uttar Pradesh,2011,Banda,41.9,52.4,31.8
Uttar Pradesh,2011,Barabanki,38.4,45.2,29.8
Uttar Pradesh,2011,Bulandshahr,37.4,44.4,27.8
Uttar Pradesh,2011,Farrukhabad,42.3,50.0,32.9
Uttar Pradesh,2011,Hamirpur,29.3,38.8,18.3
Uttar Pradesh,2011,Kanpur Dehat,50.5,65.2,34.9
Uttar Pradesh,2011,Kaushambi,9.8,15.7,2.7
Uttar Pradesh,2011,Lalitpur,30.6,38.8,21.9
Uttar Pradesh,2011,Mahoba,24.5,33.8,12.9
Uttar Pradesh,2011,Mathura,37.7,43.1,31.1
Uttar Pradesh,2011,Rae Bareli,44.3,53.9,34.7
Uttar Pradesh,2011,Shrawasti,43.1,53.4,32.2
Uttar Pradesh,2011,Sonbhadra,44.2,56.2,31.4
Uttar Pradesh,2011,Unnao,37.3,46.2,26.9
