table,column,non_missing,missing,missing_pct,min,median,max
all_states_master,st_share_state_population_pct,31,3,8.82,0.0,12.45,94.8
all_states_master,st_literacy_rate_pct,27,7,20.59,49.2,64.6,91.7
all_states_master,literacy_gap_pct,27,7,20.59,0.1,11.0,25.8
all_states_master,tribe_weighted_literacy_female_pct,29,5,14.71,37.13395509581534,56.934503742199134,100.0
all_states_master,dropout_primary_pct,33,1,2.94,0.0,0.77,15.48
all_states_master,dropout_upper_primary_pct,33,1,2.94,0.0,2.51,14.02
all_states_master,dropout_secondary_pct,33,1,2.94,0.0,11.64,33.12
all_states_master,ger_classes_i_viii,29,5,14.71,76.4,127.7,13942.5
all_states_master,ger_classes_ix_x,29,5,14.71,29.7,72.4,14195.8
all_states_master,ger_classes_xi_xii,29,5,14.71,10.1,31.4,7091.4
all_states_master,ger_latest_secondary_total,29,5,14.71,53.8,76.4,135.7
all_states_master,ger_latest_secondary_girls,29,5,14.71,55.7,78.8,134.8
all_states_master,gpi_secondary,29,5,14.71,0.9,1.0,1.3
all_states_master,scholarship_total_release_2023_24_lakh_per_100k_st_pop,28,6,17.65,0.0,218.35219876757168,1057.2169318062283
all_states_master,scholarship_utilization_2023_24_pct,25,9,26.47,0.0,94.46152252003314,100.0
all_states_master,st_bpl_rural_pct,18,16,47.06,9.5,38.9,63.5
all_states_master,st_bpl_urban_pct,18,16,47.06,2.8,22.5,44.5
all_states_master,st_bpl_mean_pct,18,16,47.06,6.75,31.9,51.6
all_states_master,employment_lfpr_person_per_1000,31,3,8.82,292.0,456.0,620.0
all_states_master,employment_wpr_person_per_1000,31,3,8.82,283.0,452.0,620.0
all_states_master,employment_pu_person_per_1000,31,3,8.82,0.0,8.0,47.0
all_states_master,mgnreg_average_days_worked,34,0,0.0,0.0,31.5,78.0
all_states_master,mgnreg_sought_not_received_per_1000,34,0,0.0,0.0,142.0,1000.0
all_states_master,mgnreg_work_100_plus_days_per_1000,34,0,0.0,0.0,0.0,40.0
all_states_master,mgnreg_100_plus_share_of_work_received_pct,28,6,17.65,0.0,0.0,25.0
all_states_master,low_literacy_district_count,10,24,70.59,1.0,6.0,16.0
all_states_master,tribal_villages_gt_50_count,29,5,14.71,5.0,1083.0,17798.0
all_states_master,education_disadvantage_score,34,0,0.0,0.0,0.42928005897100563,0.9126287987471672
all_states_master,economic_vulnerability_score,34,0,0.0,0.0,0.2354852898155395,0.577
all_states_master,overall_priority_score,34,0,0.0,0.0,0.36915213619879017,0.6338171333168844
high_st_master,st_share_state_population_pct,19,0,0.0,9.35,30.62,94.8
high_st_master,st_literacy_rate_pct,18,1,5.26,50.6,68.9,91.7
high_st_master,literacy_gap_pct,18,1,5.26,0.1,8.75,20.6
high_st_master,tribe_weighted_literacy_female_pct,19,0,0.0,37.13395509581534,57.61617562151524,100.0
high_st_master,dropout_primary_pct,19,0,0.0,0.0,2.9,15.48
high_st_master,dropout_upper_primary_pct,19,0,0.0,0.0,5.37,14.02
high_st_master,dropout_secondary_pct,19,0,0.0,0.0,12.67,33.12
high_st_master,ger_classes_i_viii,19,0,0.0,80.6,125.3,13942.5
high_st_master,ger_classes_ix_x,19,0,0.0,29.7,52.2,14195.8
high_st_master,ger_classes_xi_xii,19,0,0.0,10.1,28.6,7091.4
high_st_master,ger_latest_secondary_total,19,0,0.0,53.8,70.7,100.2
high_st_master,ger_latest_secondary_girls,19,0,0.0,55.7,75.9,105.8
high_st_master,gpi_secondary,19,0,0.0,0.9,1.0,1.3
high_st_master,scholarship_total_release_2023_24_lakh_per_100k_st_pop,18,1,5.26,0.0,233.3202592540168,840.4941685463967
high_st_master,scholarship_utilization_2023_24_pct,17,2,10.53,0.0,98.73979661016948,100.0
high_st_master,st_bpl_rural_pct,9,10,52.63,16.3,51.6,63.5
high_st_master,st_bpl_urban_pct,9,10,52.63,3.0,28.7,39.7
high_st_master,st_bpl_mean_pct,9,10,52.63,9.65,40.15,51.6
high_st_master,employment_lfpr_person_per_1000,18,1,5.26,377.0,456.0,620.0
high_st_master,employment_wpr_person_per_1000,18,1,5.26,362.0,453.0,620.0
high_st_master,employment_pu_person_per_1000,18,1,5.26,0.0,8.5,47.0
high_st_master,mgnreg_average_days_worked,19,0,0.0,0.0,36.0,78.0
high_st_master,mgnreg_sought_not_received_per_1000,19,0,0.0,6.0,141.0,285.0
high_st_master,mgnreg_work_100_plus_days_per_1000,19,0,0.0,0.0,0.0,17.0
high_st_master,mgnreg_100_plus_share_of_work_received_pct,18,1,5.26,0.0,0.0,1.9187358916478556
high_st_master,low_literacy_district_count,7,12,63.16,1.0,6.0,15.0
high_st_master,tribal_villages_gt_50_count,18,1,5.26,5.0,3277.0,17798.0
high_st_master,education_disadvantage_score,19,0,0.0,0.0,0.4030059766051831,0.7996555432295135
high_st_master,economic_vulnerability_score,19,0,0.0,0.0322199925678186,0.2860620033682013,0.577
high_st_master,overall_priority_score,19,0,0.0,0.1235629009998003,0.3801636956941634,0.6338171333168844
