,st_literacy_rate_pct,literacy_gap_pct,dropout_secondary_pct,tribe_weighted_literacy_female_pct,st_bpl_mean_pct,employment_wpr_person_per_1000,employment_pu_person_per_1000,mgnreg_sought_not_received_per_1000,overall_priority_score
st_literacy_rate_pct,1.0,-0.7852148228861219,-0.5051283255916665,0.9825268533394803,-0.06524652441682308,-0.4766351914114744,0.6177396551215105,-0.5270953614734399,-0.8079557519244887
literacy_gap_pct,-0.7852148228861219,1.0,0.5099064813189421,-0.7858710350594669,0.3274886069149284,0.5386914737347674,-0.49001063747055784,0.21368314672997446,0.7783471909795665
dropout_secondary_pct,-0.5051283255916665,0.5099064813189421,1.0,-0.46293273532951207,0.5265773948173532,0.5091043858406692,-0.31646352665917055,0.5114334857822426,0.6642159174839223
tribe_weighted_literacy_female_pct,0.9825268533394803,-0.7858710350594669,-0.46293273532951207,1.0,-0.038236869212427936,-0.4409886842353802,0.6271685361204057,-0.4762675324337011,-0.7783603027926809
st_bpl_mean_pct,-0.06524652441682308,0.3274886069149284,0.5265773948173532,-0.038236869212427936,1.0,-0.3887371985183352,0.0347727664000511,0.6487741834355897,0.7281217207629476
employment_wpr_person_per_1000,-0.4766351914114744,0.5386914737347674,0.5091043858406692,-0.4409886842353802,-0.3887371985183352,1.0,-0.5817009431952893,-0.06770288722091113,0.2816513328317091
employment_pu_person_per_1000,0.6177396551215105,-0.49001063747055784,-0.31646352665917055,0.6271685361204057,0.0347727664000511,-0.5817009431952893,1.0,-0.2491012207056567,-0.18330248220952947
mgnreg_sought_not_received_per_1000,-0.5270953614734399,0.21368314672997446,0.5114334857822426,-0.4762675324337011,0.6487741834355897,-0.06770288722091113,-0.2491012207056567,1.0,0.6176748763590861
overall_priority_score,-0.8079557519244887,0.7783471909795665,0.6642159174839223,-0.7783603027926809,0.7281217207629476,0.2816513328317091,-0.18330248220952947,0.6176748763590861,1.0
