state,tribe_weighted_literacy_female_pct,tribe_weighted_literacy_male_pct,tribe_weighted_wpr_pct
Rajasthan,37.13395509581534,67.20003616228018,48.33679114442398
Jammu and Kashmir,39.16619528195508,60.08267333683633,35.66053996818353
Odisha,41.03999544424092,63.44168025100626,49.76809170430292
Madhya Pradesh,41.19527921427571,59.29607959629071,49.90189499476908
Jharkhand,46.1635147561837,68.12397774791485,46.90740880734188
Chhattisgarh,48.615475462197686,69.52511072797692,52.83835453335856
Gujarat,52.67811191599082,71.44834611060249,49.8403157787013
Maharashtra,56.66043894382318,73.86391398429618,50.67231826731592
Dadra and Nagar Haveli and Daman and Diu,56.934503742199134,78.70035533445856,76.99607793344535
Arunachal Pradesh,57.61617562151524,71.28268028050894,40.27555724598897
Assam,64.85817990949484,79.05876552412268,48.49169930221856
Manipur,67.79292535600409,77.61813789446511,47.38723914545062
Goa,71.29286581095232,87.19151012086792,42.71209372637945
Tripura,71.29769664815008,86.32496653872253,43.55515455667943
Meghalaya,73.7620524049554,75.62066189545462,40.199910230114064
Sikkim,74.29524879110964,85.05638039096445,49.59171333849911
Nagaland,76.38144702827144,83.05237057365284,70.7037545069574
Mizoram,88.66467410269496,93.45104750795848,43.74516789385433
Lakshadweep,100.0,100.0,25.0
